A,126,18,Upper ,1,54.78,42.61,12.17
A,126,18,Upper ,2,96.52,89.57,6.96
A,126,18,Upper ,3,98.26,88.7,9.57
A,126,18,Upper ,4,12.17,8.7,3.48
B,128,18,Upper ,1,40.87,20,20.87
B,128,18,Upper ,2,22.61,14.78,7.83
B,128,18,Upper ,3,63.48,47.83,15.65
B,128,18,Upper ,4,50.43,44.35,6.09
